Date ,IPOName,Issue_Size,Subscription_QIB,Subscription_HNI,Subscription_RII,Subscription_Total,Issue_Price,Listing_Gains_Percent
19/05/16,Parag Milk Food,764.3,1.15,3.08,2.12,1.83,215.0,15.26
01/07/16,Mahanagar Gas,1039.64,72.84,191.61,6.82,64.54,421.0,23.49
12/07/16,Quess Corp,400.0,59.02,392.21,31.23,143.99,317.0,58.68
21/07/16,L&T Infotech,1242.0,19.91,10.76,7.39,11.69,710.0,-1.74
01/08/16,Advanced Enzyme,60.0,94.03,393.1,11.67,116.02,896.0,-73.7
11/08/16,Dilip Buildcon,430.0,0.0,0.0,0.0,0.0,219.0,15.05
12/08/16,S P Apparels,215.0,1.0,0.45,0.54,0.66,268.0,10.07
31/08/16,RBL Bank,1100.0,85.08,198.06,5.7,69.62,225.0,33.02
23/09/16,L&T Technology,900.0,5.01,1.03,1.74,2.52,860.0,0.59
27/09/16,GNA Axles,130.41,17.18,217.47,11.84,54.88,207.0,12.78
29/09/16,ICICI Prudentia,6057.0,11.83,28.55,1.42,10.48,334.0,-10.88
04/10/16,HPL Electric &,361.0,5.77,22.2,3.31,8.06,202.0,-6.41
19/10/16,Endurance Techn,1161.0,1.7,0.13,0.82,0.92,472.0,37.22
07/11/16,PNB Housing Fin,3000.0,37.33,86.17,1.32,29.53,775.0,14.92
08/11/16,Varun Beverages,1114.0,4.94,0.42,0.82,1.86,445.0,-69.23
09/12/16,Sheela Foam,178.5,14.51,3.35,0.44,5.09,730.0,41.37
19/12/16,Laurus Labs,560.7,10.54,3.57,1.58,4.53,428.0,-77.55
03/02/17,BSE Limited,1243.0,48.64,159.03,6.48,51.22,806.0,-55.78
17/03/17,Music Broadcast,488.53,39.78,109.13,9.85,39.67,333.0,-82.07
21/03/17,Avenue Supermar,1870.0,144.61,277.74,7.3,104.48,299.0,114.3
31/03/17,CL Educate,238.95,3.65,0.21,1.63,1.9,500.0,-58.21
05/04/17,Shankara Buildi,232.96,51.62,90.68,15.35,41.88,460.0,37.57
09/05/17,S Chand and Co,325.0,44.27,204.65,6.07,59.49,670.0,0.87
19/05/17,HUDCO,1224.0,55.45,330.36,10.79,79.53,58.0,25.0
29/05/17,PSP Projects,211.68,8.38,10.39,6.47,8.58,210.0,-0.5
06/06/17,IndiGrid InvIT,2250.0,1.14,1.6,0.0,1.35,100.0,-4.92
27/06/17,Tejas Networks,326.69,2.16,0.48,3.1,1.88,257.0,2.45
29/06/17,Eris Life,1741.1,4.68,0.45,3.51,3.29,603.0,-0.32
30/06/17,CDSL,523.99,148.71,563.03,23.83,170.16,149.0,75.57
04/07/17,GTPL Hathway,484.8,1.48,2.48,0.99,1.53,170.0,0.97
10/07/17,AU Small Financ,1912.51,78.77,143.51,3.52,53.6,358.0,-24.41
25/07/17,Salasar Techno,35.87,0.0,487.18,58.59,277.28,108.0,-74.81
10/08/17,SIS,362.25,5.64,1.65,18.67,6.92,815.0,-53.58
11/08/17,Cochin Shipyard,1454.0,63.51,288.87,8.12,76.06,432.0,20.83
04/09/17,Apex Frozen,152.25,1.91,7.82,8.53,6.14,175.0,19.91
18/09/17,Dixon Technolog,599.28,134.66,345.62,9.46,117.27,1766.0,-67.24
18/09/17,Bharat Road Net,600.65,1.33,1.63,5.16,1.75,205.0,1.54
21/09/17,Matrimony.com,501.07,1.88,0.41,18.16,4.44,985.0,-8.51
25/09/17,Capacite Infra,400.0,131.32,638.05,17.57,183.03,250.0,36.96
27/09/17,ICICI Lombard,5700.94,8.93,0.83,1.23,2.98,661.0,3.11
03/10/17,SBI Life Insura,8400.0,12.56,0.7,0.81,3.55,700.0,1.14
05/10/17,Prataap Snacks,481.94,76.89,101.15,7.62,46.97,938.0,25.62
16/10/17,Godrej Agrovet,1157.31,150.96,236.04,7.67,95.41,460.0,29.47
23/10/17,IEX,1000.7,2.56,0.85,2.61,2.28,1650.0,-96.71
25/10/17,General Insuran,11372.0,2.25,0.22,0.63,1.38,912.0,-52.28
06/11/17,Nippon,1542.0,118.41,209.44,5.23,81.33,252.0,12.7
10/11/17,Mahindra Logist,829.36,15.61,2.07,6.11,7.9,429.0,0.03
14/11/17,Khadim India,493.06,2.45,0.18,2.34,1.9,750.0,-8.2
17/11/17,HDFC Life,8695.01,16.6,2.29,0.9,4.89,290.0,18.71
15/12/17,Shalby,504.8,4.34,0.42,2.98,2.82,248.0,-3.53
18/12/17,Future Supply,649.69,12.36,11.15,3.28,7.56,664.0,3.28
29/12/17,Astron Paper &,70.0,103.35,396.99,77.93,243.29,50.0,139.4
22/01/18,Apollo Micro Sy,156.0,101.93,958.07,40.19,248.51,275.0,65.13
29/01/18,Newgen Software,424.62,15.62,5.52,5.18,8.25,245.0,3.27
30/01/18,Amber Enterpris,600.0,174.99,519.26,11.65,165.42,859.0,44.03
08/02/18,Galaxy Surfacta,937.09,54.67,6.96,6.0,20.0,1480.0,14.74
26/02/18,Aster DM Health,980.14,2.1,0.55,1.18,1.31,190.0,-5.34
09/03/18,HG Infra Engg,457.7,8.37,4.97,3.08,4.98,270.0,0.02
23/03/18,Bharat Dynamics,960.94,1.5,0.5,1.41,1.3,428.0,-8.71
27/03/18,Bandhan Bank,4473.0,38.67,13.89,1.2,14.63,375.0,27.25
28/03/18,Hindustan Aeron,4229.0,1.73,0.03,0.39,0.99,1215.0,-7.13
04/04/18,Mishra Dhatu Ni,438.38,1.96,0.12,0.72,1.21,0.0,0.0
05/04/18,ICICI Securitie,4016.0,0.54,0.05,0.39,0.36,520.0,-14.44
21/05/18,Indostar Capita,1844.0,16.08,6.91,1.48,6.8,572.0,2.36
02/07/18,RITES,453.6,71.72,194.56,15.74,67.24,185.0,-8.02
02/07/18,Fine Organics,597.87,12.86,21.01,1.62,8.99,783.0,5.08
30/07/18,TCNS Clothing C,1121.98,13.47,5.08,0.67,5.27,716.0,-8.13
23/08/18,CreditAccess Gr,1126.44,5.52,0.98,0.88,2.22,422.0,-0.28
08/10/18,AAVAS Financier,1729.2,2.77,0.26,0.25,0.97,821.0,-5.83
04/02/19,Xelpmoc Design,23.0,1.24,7.69,2.64,3.25,66.0,-10.91
07/02/19,Chalet Hotels,1628.84,4.66,1.1,0.03,1.57,280.0,3.71
29/03/19,MSTC,213.81,1.13,2.15,2.95,1.46,128.0,-10.78
01/04/19,Embassy Office,4750.0,2.15,3.09,0.31,2.57,300.0,4.7
11/04/19,Rail Vikas,430.88,1.36,0.8,2.92,1.82,19.0,0.26
15/04/19,Metropolis,1200.18,8.88,3.03,2.21,5.84,880.0,9.04
